point,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
11y8y,-0.04306943822130194,-0.022895695757522816,-0.01940901975035647,-0.06199940401311732,-0.005184906280292445,0.04949930574982275,0.014372391754751135,-0.056398314124744164,-0.024147151552218915
11y9y,-0.048997706493670634,-0.032044417044194695,-0.020345554318773607,-0.06421732847102701,-0.00750954864724207,0.040199970473621116,0.014089377388934565,-0.059800536968217965,-0.030548882755943474
11y10y,-0.05390683991319545,-0.04014129047359827,-0.02057756540489941,-0.06438150095026307,-0.009206609056898962,0.02994009454387858,0.014080262536754873,-0.06128063404311668,-0.0361066168738029
11y11y,-0.05755959289252299,-0.04650255572779605,-0.02068881462319183,-0.06379283553823178,-0.010733185707839432,0.021101216022027636,0.013540848519006055,-0.061550384719692985,-0.04021933172644587
11y12y,-0.05996360093244135,-0.05111847830742766,-0.020789320178555615,-0.06273721951831979,-0.012207320758618412,0.014082102253631268,0.01234193265273209,-0.060816811155742556,-0.04286436763223067
11y13y,-0.06118343091610967,-0.05414183794006666,-0.020855325336916586,-0.061204377038309055,-0.013643913561578458,0.008733577857674257,0.010539704137753958,-0.05912744030867634,-0.04416129370430211
11y14y,-0.06126510725690082,-0.055681513013394746,-0.02086985605009417,-0.05918690429952145,-0.01505361049964904,0.004949185941978351,0.008174291599888583,-0.05651617157795563,-0.04419543756239097
11y15y,-0.06044639434932364,-0.05603864647325896,-0.020825249695401116,-0.05683968865139333,-0.01639687729657302,0.0025034261382346212,0.0054723491714456785,-0.053275525244612876,-0.04326512464988452
11y16y,-0.05953852423639816,-0.05612605282169758,-0.02073060915768221,-0.054776275447785405,-0.01749723323313912,0.0007698104752986712,0.003215469738703014,-0.05045508290768641,-0.042325391955620795
11y17y,-0.05871868696547633,-0.05616094720339371,-0.02058248976116661,-0.053117746607799,-0.018322521706650274,-0.00041022163766535336,0.0015729210972805774,-0.048276236297584596,-0.04159452079708048
11y18y,-0.05796771841480375,-0.05614191821540793,-0.020374524613255174,-0.05183495986495679,-0.018884135795032897,-0.0010464879208083033,0.000524639204584787,-0.04670529498868081,-0.041060913869943594
11y19y,-0.057270487813023685,-0.056067844884547746,-0.0201016841737518,-0.05090492178829509,-0.019191058441988762,-0.0011467276073791055,5.479246113715419e-05,-0.045715669949397686,-0.04071541980205806
12y1y,0.005905842521310767,0.0476204927731807,0.00118066780519821,-0.002859894903851412,0.024519741483226554,0.06485192981536225,0.024752979766967442,0.005340887559256213,0.026458230789132564
12y2y,-0.004984723738312269,0.03431332671372722,-0.0043068969931781,-0.017583739529543507,0.01843994436455798,0.0639533443766993,0.02187388607347618,-0.008935779412111877,0.016751069338262425
12y3y,-0.01676630270167845,0.017966173347336856,-0.010123316387562031,-0.034370794428940865,0.010763311892938887,0.06414082477642191,0.018836173434364056,-0.025794484024844522,0.004921134306888675
12y4y,-0.02867153497930719,0.00020401065768993476,-0.015773818282386776,-0.05136587664299341,0.002465355875583164,0.0642944837246151,0.015909734564799827,-0.04328470763240855,-0.007866018389286467
12y5y,-0.038397790349066874,-0.014099319103721086,-0.01977376969636646,-0.06300069922616203,-0.0035277033742824315,0.06105815096941192,0.013904200183811888,-0.05555369109632258,-0.01811376854947433
12y6y,-0.04626545872645771,-0.02562220306745644,-0.02232965722925151,-0.07004921976843104,-0.007622495566709908,0.054900803020885514,0.012706976294033723,-0.06341445384517419,-0.02630808850911137
12y7y,-0.05279575487434496,-0.035468101122202,-0.023777423671473175,-0.07377081169903654,-0.010481012330532558,0.04658333156738004,0.01213483037633356,-0.06819074164325345,-0.03324011702216634
12y8y,-0.05824926709912859,-0.04418886189912552,-0.02428497457080203,-0.07479455075344488,-0.012434221737072981,0.036486076154457425,0.01209613438709134,-0.07054418890234793,-0.03930544394261304
12y9y,-0.06267590860910666,-0.051836005170134314,-0.024105051305162162,-0.07380171769899357,-0.013772658515597946,0.025498868934649588,0.012307478218207102,-0.07099500210399734,-0.04450775283060482
12y10y,-0.06581703001677575,-0.05766392548009813,-0.023874676855256682,-0.07221216407088615,-0.014995287885761766,0.01622022512153798,0.01189140123053889,-0.07032029104214077,-0.04819162557283008
12y11y,-0.06768890813993522,-0.06168480740767057,-0.023694695440011015,-0.0702951894552859,-0.01621597137952735,0.009006736546967042,0.010733442766283297,-0.0687227647612465,-0.05035236530219667
12y12y,-0.06836661502161956,-0.06407958625134214,-0.023524086423114543,-0.0680047792738594,-0.017438226030992876,0.0036354489269012635,0.008915069365595052,-0.06623378354313214,-0.051133368741110186
12y13y,-0.06790202153435487,-0.06497325569098145,-0.023334445569137552,-0.06530900846012289,-0.018664491005114137,-4.788629532703759e-05,0.006492673922676495,-0.06287500619970521,-0.05063382558545326
12y14y,-0.06655076382784664,-0.06469220277815291,-0.023110610937747023,-0.06235684139708697,-0.019845785394284388,-0.002311409496672523,0.0037178511548567883,-0.05894868265528386,-0.04917717689183565
12y15y,-0.06517541107549008,-0.06420853246282698,-0.022857303614691515,-0.059788057130193195,-0.02078957118677449,-0.0038396104948108523,0.001427479627706063,-0.055562000335186656,-0.04778065853515567
12y16y,-0.06395202854769266,-0.06374045276580853,-0.022567008352331275,-0.05771263388255621,-0.02146066906777877,-0.004805305804202131,-0.0002059789218664676,-0.05292779347273413,-0.04666315376798602
12y17y,-0.06284904175391226,-0.06327445115721098,-0.022230073572709008,-0.05608410160926658,-0.021870722375410434,-0.005220465153028764,-0.0012112832777129157,-0.05099082284123879,-0.04580000331743417
12y18y,-0.06184189148874886,-0.0628000108112019,-0.021838989277707554,-0.05486633132032903,-0.02202877480384169,-0.005094386087063141,-0.0016107924801147533,-0.04970813375240901,-0.045172032387584604
13y1y,-0.015875289997929087,0.02100616065425509,-0.009794461791566178,-0.03230758415522761,0.012360147245892072,0.06305475893805546,0.018994792379975145,-0.023212446383499508,0.007043907887403833
13y2y,-0.028102375313164174,0.003139013634412713,-0.015775308483932493,-0.050126244191478264,0.0038850970977923893,0.06378527225694608,0.015877770268057034,-0.04136216981689378,-0.005847413934218615
