,Currency,Tenor,Tenor Ticker,yield,Rolldown,last_week_yield,ccy_test,last_week_rolldown
105,nzd,1Y,ZH627388 Corp,5.333,-0.095,5.513,True,-0.057000000000000384
106,nzd,2Y,JK597058 Corp,5.382,0.049,5.603,True,0.08999999999999986
107,nzd,5Y,BM049358 Corp,4.991,-0.391,5.321,True,-0.28200000000000003
108,nzd,7Y,ZR609878 Corp,5.115,0.124,5.448,True,0.12700000000000067
109,nzd,10Y,QJ109447 Corp,5.165,0.05,5.498,True,0.04999999999999982
110,nzd,15Y,QZ292796 Corp,5.324,0.159,5.663,True,0.16500000000000004
111,nzd,20Y,BK432795 Corp,5.362,0.038,5.701,True,0.03799999999999937
112,nzd,30Y,BR221951 Corp,5.287,-0.075,5.625,True,-0.07599999999999962
113,sek,3M,ZH731537 Corp,3.998,,,False,
114,sek,6M,ZK784279 Corp,4.047,0.049,4.034,True,
115,sek,1Y,ZI673511 Corp,4.029,-0.018,4.035,True,0.001000000000000334
116,sek,2Y,EK041769 Corp,3.425,-0.604,3.461,True,-0.5740000000000003
117,sek,4Y,EK914594 Corp,3.026,-0.399,3.136,True,-0.32499999999999973
118,sek,5Y,AM216366 Corp,2.864,-0.162,2.99,True,-0.1459999999999999
119,sek,7Y,AS783715 Corp,2.819,-0.045,2.944,True,-0.04600000000000026
120,sek,8Y,BH066135 Corp,2.811,-0.008,2.942,True,-0.0019999999999997797
121,sek,9Y,EJ085746 Corp,2.811,0.0,2.951,True,0.008999999999999897
122,sek,10Y,BW183328 Corp,2.846,0.035,2.987,True,0.03600000000000003
123,sek,15Y,EH766910 Corp,2.966,0.12,3.094,True,0.10699999999999976
124,sek,25Y,BM603929 Corp,2.997,0.031,3.102,True,0.008000000000000007
125,sek,50Y,BQ090624 Corp,3.265,0.268,3.389,True,0.2869999999999999
126,BTP,3M,ZK770604 Corp,3.92,,3.81,False,
127,BTP,6M,ZH087117 Corp,3.918,-0.002,3.963,True,0.15300000000000002
128,BTP,1Y,ZH365012 Corp,3.856,-0.062,3.873,True,-0.08999999999999986
129,BTP,2Y,ZJ946458 Corp,3.779,-0.077,3.819,True,-0.05400000000000027
130,BTP,3Y,ZJ731593 Corp,3.769,-0.01,3.828,True,0.008999999999999897
131,BTP,4Y,AQ935391 Corp,3.85,0.081,3.947,True,0.11900000000000022
132,BTP,5Y,ZH117239 Corp,4.035,0.185,4.14,True,0.19299999999999962
133,BTP,6Y,ZN261333 Corp,4.124,0.089,4.254,True,0.11399999999999988
134,BTP,7Y,ZI836658 Corp,4.256,0.132,4.384,True,0.13000000000000078
135,BTP,8Y,BP968841 Corp,4.332,0.076,4.475,True,0.0909999999999993
136,BTP,9Y,BW152567 Corp,4.446,0.114,4.596,True,0.12100000000000044
137,BTP,10Y,ZI608433 Corp,4.634,0.188,4.789,True,0.19299999999999962
138,BTP,15Y,BW763624 Corp,4.915,0.281,5.052,True,0.2629999999999999
139,BTP,20Y,ZM337817 Corp,5.07,0.155,5.204,True,0.15200000000000014
140,BTP,25Y,AX099966 Corp,5.023,-0.047,5.175,True,-0.028999999999999915
141,BTP,30Y,ZL106368 Corp,5.129,0.106,5.276,True,0.10099999999999998
142,BTP,50Y,BO952242 Corp,4.701,-0.428,4.838,True,-0.4379999999999997
