"point","aud","cad","chf","eur","gbp","jpy","nzd","sek","usd"
"03y04y",4.0084587123259,3.01380426039169,1.6669346670468,2.50577566916043,3.13953496233431,0.602935073636707,4.01382325666206,2.5306581638389,3.21371011353337
"04y04y",4.15965563656473,3.14506356464916,1.75001984755955,2.54535657973277,2.98867053442808,0.734453851479804,4.06442284086323,2.51926775915844,3.25270644093559
"05y04y",4.25958581018667,3.28743796540844,1.8095156213768,2.59830125357153,2.86608227651659,0.85890879743344,4.11754771178116,2.55265541149147,3.308941654773
"06y04y",4.30144771529317,3.35564725316535,1.87271606073385,2.66832446255398,2.86192153180459,0.961355550819095,4.14597270939925,2.55020536197328,3.3631951721805
"07y04y",4.33346714250803,3.4092601466728,1.9269362125165,2.72648920752167,2.91258624255496,1.04887686861266,4.1736130284941,2.55810812936136,3.42983162170583
"08y04y",4.35322031606437,3.4692128329278,1.97329738648722,2.75367250829756,2.95685928055616,1.13911398879519,4.20639533021175,2.52638743385898,3.4971577282647
"09y04y",4.37154665318033,3.55746833530944,2.02061898479266,2.74367528747684,3.01132746969918,1.22722569443944,4.2580963145555,2.46193384292736,3.54793581920206
"10y04y",4.38888900626665,3.67278472589032,2.03826122112058,2.68253842227408,2.97488842501287,1.31243112496277,4.31535104084557,2.41115876579033,3.57764400452354
"11y04y",4.37290373063374,3.76615544716993,2.02586256901893,2.58339065435105,2.92039704666791,1.39300437955771,4.35823320829338,2.3664581664957,3.58753991179881
"12y04y",4.30937827792998,3.81333056427602,1.98472782831038,2.45078447791404,2.88213403644254,1.46779908809759,4.37706266530304,2.32241582249886,3.57374609756054
"13y04y",4.20297311855068,3.81265291829678,1.91959012417283,2.29281176572215,2.85836441832829,1.53511168036945,4.37359066775783,2.27922713581913,3.53632832689268
"14y04y",4.06462363492384,3.76913703014569,1.83897282606204,2.1225376041739,2.84444299293751,1.59260240351747,4.35448769175394,2.23702609316131,3.47858507730476
"15y04y",3.90922772626344,3.69200485226851,1.75379277656659,1.9561747484205,2.83388475793982,1.63753049564948,4.32953057960078,2.19590789856541,3.40585614708782
"16y04y",3.75300423920197,3.59187318409784,1.6757646544562,1.81099636800764,2.81958898205906,1.66702268393545,4.309531154191,2.1559548434568,3.32416140983286
"17y04y",3.60370921921312,3.47202876600615,1.61071133738397,1.69581353142036,2.79865875121034,1.67978493239585,4.29854382659817,2.11732485091809,3.23584369678767
"18y04y",3.46445400921433,3.33813853160741,1.5582422217882,1.60798972626737,2.77159923729805,1.678142219959,4.29642907330635,2.08018958264661,3.14383927001692
"19y04y",3.33726174871885,3.19813207928037,1.51571644974772,1.54038956428097,2.74000546869994,1.66599868133388,4.30193423924566,2.04471655664846,3.05191912854348
"20y04y",3.22354907316915,3.06120443803682,1.47923692106353,1.48336172557332,2.70608117251071,1.64813816198844,4.3131853519441,2.01107099202625,2.96432084737954
"21y04y",3.1246584781834,2.93671351908567,1.44474920661356,1.42693266703427,2.67210688923048,1.62945161046883,4.32823074150722,1.97941784819869,2.88534155448661
"22y04y",3.04379185874732,2.8301716220718,1.41203225251749,1.36878094751695,2.63850914296985,1.61213456274866,4.3468791672925,1.94992923391112,2.81785993335512
"23y04y",2.98520393289859,2.7449175084464,1.38303385355548,1.31091820527807,2.60466532033825,1.59685939346504,4.36943123842775,1.92278131257007,2.76395261065702
"24y04y",2.95339491693026,2.6837887809469,1.36020534125799,1.25636321654355,2.56970922858372,1.58394566068122,4.39618750660912,1.8981512056593,2.72551075084707
"25y04y",2.95298809711841,2.64937333853014,1.34625016566746,1.20863972312534,2.53265268484691,1.57353670622249,4.42744845432621,1.87621652174204,2.70433293832756
"26y04y",2.98859702455107,2.64428171115225,1.34385142712798,1.17123212911471,2.49251726044521,1.56579090610934,4.46351448210163,1.85715484616016,2.70222578598784
"01y05y",3.87230225594287,3.16153894038642,1.52722817225298,2.58584739679601,3.54248014462403,0.424196353309297,4.19419296767103,2.74991571170649,3.39544150535616
"02y05y",3.93718610690132,3.04405277204299,1.62599758439754,2.51833211269976,3.25717740140789,0.547376146246052,4.04481903622244,2.59536225838879,3.22346208212155
"03y05y",4.07161537650831,3.08861217102123,1.70636124899923,2.53064671609265,3.0763887613182,0.66483433725759,4.04371583377188,2.53661290391955,3.2319713045735
"04y05y",4.19602932959411,3.19540895892987,1.772816986975,2.5759516819192,2.93464772851517,0.788426722749218,4.08073158057325,2.54466148628731,3.28126214635593
"05y05y",4.2700268330637,3.30399938321181,1.8392517704489,2.63634759998389,2.8993996826315,0.905913455386282,4.12619853339419,2.55150643312619,3.34369349087988
"06y05y",4.31242047433667,3.38095003906705,1.90246792096367,2.69245174003657,2.90460026564596,1.00604959819227,4.16165769002052,2.53593503732571,3.39778106069333
"07y05y",4.34742465949909,3.45293902905011,1.95145142455157,2.72896418740235,2.93024821589567,1.09377746938437,4.19777349261163,2.53319631993561,3.45872939635856
"08y05y",4.36554214288659,3.52533277545809,1.98929629676149,2.73460664811445,2.95277327673205,1.18264419711692,4.23567035952706,2.49879435330245,3.51744564896911
"09y05y",4.37346938992769,3.61227679159732,2.02224825024392,2.70373733494593,2.98644460142853,1.26873131740975,4.28444119664572,2.43830911656528,3.55865537068032
"10y05y",4.36958528660913,3.70935659427071,2.02498512759173,2.62450469347422,2.95138067753662,1.35136866118316,4.33146608913582,2.38893728094365,3.57725685238798
