point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
6y10y,6,16,4.735922819489467,4.073006696652841,1.824092963630706,3.0703694893569176,3.9303708008327045,1.5476527935559026,4.816049677942792,3.0570072811541027,3.745750193462448
6y11y,6,17,4.717946337532606,4.077446577061792,1.8211571232527857,3.044701600435602,3.9305059937062876,1.5810373214968327,4.84583676506863,3.0328418686270733,3.743211135407423
6y12y,6,18,4.694036325490018,4.072096068183962,1.8162467549396086,3.0129113498327253,3.928183499740142,1.6104734846251987,4.8747579693967635,3.0069434457258892,3.7351387318131737
6y13y,6,19,4.664873860846693,4.0601755246170494,1.8100067239731608,2.9777124009133176,3.9240639047105494,1.6348827726121253,4.90270258682169,2.9803896234114746,3.7222174109612984
6y14y,6,20,4.631076605216048,4.0444383190606805,1.8030101749196983,2.9415167256887957,3.918628423658762,1.6532814033516992,4.929508110254912,2.954139724530855,3.7049633792589742
6y15y,6,21,4.593378995774408,4.0268286147595065,1.7956984913498997,2.906186327865713,3.9122133567698265,1.6651277237877355,4.954970475481027,2.9288422680603063,3.6839321836636914
6y16y,6,22,4.553099933741981,4.0071548557103505,1.7881563118318167,2.87209780710157,3.9049750531044785,1.671385277427015,4.978834745096691,2.9041966584123307,3.6601866708064756
6y17y,6,23,4.511643699188905,3.9847433362023303,1.7803893293003883,2.8392979946002237,3.896994975481848,1.6732988695139,5.000824587238932,2.8797098256027365,3.634836014246248
6y18y,6,24,4.470356498005604,3.958947628346105,1.7724095325949631,2.8078588911688653,3.8883195968193798,1.6720305450113018,5.020653536401172,2.854924572843146,3.608908707172832
6y19y,6,25,4.430541873652233,3.9291412400383594,1.7642335506967186,2.7778710608918624,3.878969602394613,1.6686814374906873,5.038027661799989,2.829410114106278,3.583373858209307
6y20y,6,26,4.393172209875369,3.894998941041837,1.755888103556786,2.749364309105553,3.8689663555458296,1.6641934364093245,5.052803129469416,2.802867392916679,3.5589580836002903
6y21y,6,27,4.358024766074957,3.8573277266094204,1.7474284241813136,2.7220867837007683,3.8583948230430556,1.6590292328836742,5.065440902503664,2.775450400561992,3.535579445337641
6y22y,6,28,4.324622724150709,3.8171689534455404,1.7389169919690726,2.695736012815181,3.847344327513605,1.6535355768318765,5.07652079921596,2.7474127902825343,3.51297416322998
6y23y,6,29,4.292530587479408,3.7755176878589847,1.7304166546886248,2.6700298345552085,3.8358915309872654,1.6480597065562357,5.0865906709340765,2.7189963797940067,3.4908950536246417
6y24y,6,30,4.261345563139234,3.7333325343037744,1.7219905539903169,2.6447021511162174,3.8241030735994883,1.6429492547115498,5.0961730622348025,2.6904336295369244,3.469108065992383
7y1y,7,8,4.717179110836951,3.566901826803385,1.7665787300226217,2.9876234793805025,3.824829477319801,1.2420574610831625,4.6083725699795135,3.04002405748214,3.628796397175355
7y2y,7,9,4.736271027303492,3.8996641076892824,1.7574577124870883,3.0176478281762265,3.8350297054686906,1.2960039965116683,4.624429710410795,3.0049012318863713,3.6554749729032423
7y3y,7,10,4.743908033405363,3.910993955448147,1.7821750291475318,3.04865962501092,3.865262223809238,1.3497390522877069,4.656135644064871,3.068437033346057,3.6726176421023355
