point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
7y11y,7,18,4.638537744796045,4.034590174588363,1.824489152158908,3.008497825930938,3.899682700011105,1.6474436101413779,4.8723597734753055,2.9712643086380686,3.7148905368172587
7y12y,7,19,4.6060337588643705,4.02619459601711,1.8175005223444427,2.972221830885936,3.8939942561700915,1.6705387854795233,4.904075735235276,2.9419139843448527,3.699512740394943
7y13y,7,20,4.569110214708768,4.010905740048839,1.8094919736537867,2.93497691463506,3.8872439218089485,1.6873014728749063,4.933347703957594,2.911056682784415,3.679847051473659
7y14y,7,21,4.5285138976554045,3.9896795919285473,1.8009361858643582,2.898497338162302,3.879892846740835,1.6971716989040813,4.959534204641713,2.879705763866888,3.656534046584129
7y15y,7,22,4.485623331657232,3.9638791085681655,1.792037635296197,2.8632065866383316,3.8720212495069366,1.701250065767292,4.982744735342581,2.848550964074125,3.6307087451418862
7y16y,7,23,4.441897607234642,3.9348452806644745,1.7829374657624308,2.8292478955314806,3.8635982114230347,1.7009193369994429,5.003209988552346,2.818180043139774,3.6035330522564384
7y17y,7,24,4.398723671183839,3.903793588498811,1.7737763011402836,2.796793381773691,3.8545693874378832,1.6974480089633888,5.021102037912174,2.7891527872804467,3.5760736442879555
7y18y,7,25,4.357436501696046,3.87184906031181,1.7646943967018762,2.766036054391823,3.844863504003197,1.6920221302747076,5.036550615675868,2.762008807543969,3.5493284883833844
7y19y,7,26,4.319012216481787,3.8399031008135194,1.7558045705332013,2.737078928985558,3.834435976666437,1.6856405924417746,5.04973502271096,2.7370923252100954,3.524030702929399
7y20y,7,27,4.283150054746976,3.8081466430389614,1.7471136796976434,2.709626205554163,3.823385342297904,1.6787645648695348,5.0611255257737335,2.7140336306964707,3.5000414064666687
7y21y,7,28,4.249290299055576,3.776608959132869,1.738608355812526,2.6833128274594014,3.811831974327599,1.6717272923482445,5.07123415567655,2.692321016508699,3.477034399939226
7y22y,7,29,4.21692872039293,3.7453276254224637,1.730281262509806,2.6578042212608257,3.799881898883716,1.6648640189294726,5.080540818573193,2.671476951896279,3.454709530866354
7y23y,7,30,4.185604505853084,3.7143467265024843,1.7221297846919774,2.6327896549624725,3.78762991663827,1.6585115609832102,5.089500278644348,2.6510506445707396,3.4327870248809913
8y1y,8,9,4.690472907641169,3.8904965605893724,1.796921303672536,3.009745718327237,3.813772943721712,1.3377759155649607,4.618339192125641,3.0108020945865013,3.640629044701374
8y2y,8,10,4.699850176315974,3.8457021009763914,1.8068335795414674,3.0516991774124977,3.8497016384903313,1.393699385193585,4.649275895365461,3.0308349814227427,3.657958634509842
8y3y,8,11,4.7112154329651315,3.8588297460613945,1.8175024102397255,3.082190778116477,3.8727831818207137,1.441888683241284,4.677553784554032,3.044782389644159,3.679472665961208
8y4y,8,12,4.719780740792292,3.900210686996739,1.828174167051223,3.1027410799766493,3.8897701570888668,1.4845533605191448,4.706164877383833,3.0526902278311523,3.702080137847843
8y5y,8,13,4.72306273389083,3.9486333204546518,1.837103911977693,3.1142530164948714,3.9037106181297196,1.5237460147825228,4.736262499063175,3.055310056344227,3.722533644412071
8y6y,8,14,4.719904584188203,3.9937987727982454,1.8432491139845444,3.1156521435343922,3.9143403295682244,1.5605681484994338,4.7679883931153215,3.0518047065642993,3.7382787449272357
8y7y,8,15,4.709528272993178,4.028528895491297,1.845767952071616,3.1052986534286275,3.9204486452272853,1.5958490646241525,4.801195309032061,3.0408829584689174,3.7469591434062886
8y8y,8,16,4.691614968133179,4.048501782919395,1.8442497454445212,3.082521566693727,3.921164629822238,1.629846159666751,4.835484630753502,3.0218614994902127,3.747076364193619
8y9y,8,17,4.66703703433486,4.055905379163594,1.8395826165921472,3.050756477139634,3.9179297979756127,1.6611025680487075,4.869901139877389,2.9967488875977173,3.739950732084455
8y10y,8,18,4.636722738709252,4.0533174612221385,1.8326989112946537,3.0134837241232093,3.9121613829545208,1.6881036033151589,4.903454658382153,2.967576575566939,3.7269799056638226
8y11y,8,19,4.601428845518952,4.042456167632245,1.824328609757443,2.973456647874818,3.904821382133105,1.7096019770318827,4.935227081674225,2.9358932884353504,3.7091050942170654
8y12y,8,20,4.561812082129168,4.024538109365357,1.8150836747248142,2.9330050871872944,3.896606259411617,1.724506289080851,4.964342435586824,2.9029662697373353,3.687001235067163
8y13y,8,21,4.5186543662701295,4.000630536826851,1.8054396185615045,2.8938710684818454,3.8879695372149823,1.7322738543271967,4.990159072352089,2.8698260811374663,3.661344600294323
8y14y,8,22,4.473404440656751,3.97220495144799,1.7955837834743933,2.8563899968261954,3.878958776573364,1.7341362362932717,5.012840007552277,2.8371516301258928,3.6333310234840486
8y15y,8,23,4.427578260672687,3.940680478825398,1.7856405260931618,2.8206218322996963,3.869511700812775,1.7315910475725016,5.032663259495381,2.8055159367258002,3.604168799183426
8y16y,8,24,4.38260091277883,3.907323356014323,1.7757378474114607,2.7866780403840323,3.859548982241692,1.7259857796233766,5.049832732506258,2.7754659840261384,3.574953444033978
8y17y,8,25,4.33983348381558,3.8732921045507034,1.76600632822543,2.754706478532034,3.8489792471459188,1.718562039208304,5.0645000092799295,2.747530405673063,3.546700937797018
8y18y,8,26,4.300252461527222,3.839491200400348,1.756549737740521,2.724770044817631,3.8377437603380757,1.7103515321105642,5.076864139283413,2.7220340299801347,3.5201436948503875
8y19y,8,27,4.2634901731197665,3.806085029080454,1.7473622122711265,2.696520277214475,3.8259374197569027,1.7018130325782694,5.08742629426673,2.6985542618200022,3.4950963832095674
8y20y,8,28,4.228920423725156,3.773073541676982,1.7384191955630797,2.66954652663196,3.813678779515132,1.6932714730454779,5.096725317240036,2.6765299853666646,3.4711862775186066
8y21y,8,29,4.195987811570499,3.740470973859219,1.729704581638775,2.643478763034759,3.801071709755468,1.6850554637164201,5.105261289723972,2.655445300112798,3.4480768014622942
8y22y,8,30,4.164191628588952,3.708302609150296,1.7212087948688195,2.6179783281876645,3.7882087369137856,1.6774964647368305,5.113504340200599,2.634819235717165,3.425459305632327
9y1y,9,10,4.709227444990774,3.8009076413634197,1.8167458554103857,3.0936526364977546,3.885630333258947,1.4496228548222139,4.680212598605273,3.050867868258981,3.6752882243182934
9y2y,9,11,4.721586695627109,3.8429963387974144,1.8277929635233114,3.1184133080110885,3.9022883008702216,1.4939450670794563,4.707161080768229,3.0617725371729945,3.698894476591128
9y3y,9,12,4.729550018509332,3.9034487291325353,1.8385917881774505,3.133739533859788,3.9151025615445847,1.533479175503874,4.73544010580323,3.0666529389127035,3.7225638355633266
9y4y,9,13,4.731210190453243,3.963167510420972,1.8471495640539821,3.1403798410367805,3.92619503673172,1.5702385395869145,4.765743325797559,3.0664370467836584,3.7430097943397413
9y5y,9,14,4.7257909194976095,4.01445921524002,1.8525146760469433,3.1368334285758235,3.934453806737528,1.6051265950863296,4.797918233313257,3.060005228959859,3.7578086849724106
9y6y,9,15,4.712704167218514,4.051534284641618,1.8539090601381285,3.1212241426121916,3.93822792881155,1.6388612561340183,4.831671328516463,3.0458964357826526,3.7646808265237732
9y7y,9,16,4.691778119632038,4.071073957537973,1.851010951411946,3.0929181164603685,3.9365062992651723,1.671570480252722,4.8665054077003385,3.023441414476456,3.7622831241210846
9y8y,9,17,4.664107550171571,4.0765814814853725,1.8449152807070972,3.0558828219911818,3.9309494047573517,1.7015183996091754,4.901346383346357,2.9949922367241193,3.7523659430073417
9y9y,9,18,4.630750497716817,4.071408672403558,1.8366742010304453,3.013899058100539,3.9230934317581663,1.7270289019540703,4.935134154632876,2.962773740120321,3.736574445770762
9y10y,9,19,4.592524439306731,4.0576521283365325,1.8270693403659326,2.9698277408295755,3.913926225974244,1.7467845831785744,4.966915870629082,2.9284024078202355,3.7159526991686334
9y11y,9,20,4.550115643446258,4.03672370470863,1.8167347993659293,2.9260286661745725,3.9041365608379714,1.7596635957641136,4.995797275901477,2.8931630129328676,3.6912168887367813
9y12y,9,21,4.504336154489208,4.009808368179974,1.806149478135585,2.8842148476613967,3.894152586672754,1.7651486825573839,5.021144062370959,2.858078080016714,3.663070896593735
9y13y,9,22,4.4567068662733345,3.9784902122832686,1.7954808973053036,2.8445934028645774,3.883973071408106,1.7646254917339117,5.043186224123556,2.8237939020904617,3.632769637236562
